DSP_1005580000422_D_A02.dcc	DSP_1005580000422_D_A03.dcc	DSP_1005580000422_D_A08.dcc	DSP_1005580000422_D_A09.dcc	DSP_1005580000422_D_A10.dcc	DSP_1005580000422_D_A11.dcc	DSP_1005580000422_D_A12.dcc	DSP_1005580000422_D_B01.dcc	DSP_1005580000422_D_B06.dcc	DSP_1005580000422_D_B07.dcc	DSP_1005580000422_D_B08.dcc	DSP_1005580000422_D_B09.dcc	DSP_1005580000422_D_B10.dcc	DSP_1005580000422_D_B11.dcc	DSP_1005580000422_D_B12.dcc	DSP_1005580000422_D_C01.dcc	DSP_1005580000422_D_C04.dcc	DSP_1005580000422_D_C05.dcc	DSP_1005580000422_D_C06.dcc	DSP_1005580000422_D_C07.dcc	DSP_1005580000422_D_C10.dcc	DSP_1005580000422_D_C11.dcc	DSP_1005580000422_D_C12.dcc	DSP_1005580000422_D_D01.dcc	DSP_1005580000422_D_D04.dcc	DSP_1005580000422_D_D05.dcc	DSP_1005580000422_D_D08.dcc	DSP_1005580000422_D_D09.dcc	DSP_1005580000422_D_D10.dcc	DSP_1005580000422_D_D11.dcc	DSP_1005580000422_D_D12.dcc	DSP_1005580000422_D_E01.dcc
Lipf	6	8	6	12	2	5	6	11	6	18	3	13	3	8	5	6	1	2	2	2	0	0	3	3	2	3	2	1	1	1	2	2
Lipg	1	8	2	10	6	5	7	11	4	5	7	12	5	0	1	5	1	1	1	0	0	1	2	1	1	0	0	2	2	2	3	2
Liph	2	7	3	7	2	2	5	7	4	9	2	10	1	10	5	7	0	0	1	4	1	2	1	6	2	1	2	5	0	2	0	3
Lipi	5	9	2	17	4	3	2	17	6	13	2	14	9	7	1	7	2	0	1	0	1	3	1	2	2	3	0	2	1	1	1	3
Lipk	0	4	4	8	3	9	2	6	7	11	2	5	7	10	2	3	3	4	2	1	0	2	0	2	2	2	1	1	1	2	2	1
Lipm	2	7	2	4	2	9	3	10	3	7	2	11	2	8	3	6	2	1	1	1	0	1	0	0	2	2	2	1	1	0	0	2
Lipn	4	6	5	6	2	8	6	6	2	15	4	11	3	9	5	10	1	1	2	2	0	1	3	3	2	0	1	2	3	2	1	2
Lipo2	5	8	4	14	6	6	8	7	8	13	5	13	3	12	2	6	3	6	2	2	2	8	3	2	2	6	4	6	2	3	3	5
Lipt1	0	4	2	8	3	3	9	8	5	12	2	14	4	13	5	11	2	4	1	2	1	1	0	3	1	0	2	4	2	2	3	7
Lipt2	5	6	4	9	3	5	4	8	1	19	3	13	0	11	4	10	2	2	1	1	0	2	0	1	0	2	2	3	3	2	1	5
Litaf	1	5	9	9	4	9	3	9	8	17	6	20	3	10	7	8	1	1	0	2	1	8	3	3	0	6	3	6	4	4	3	5
Lix1	1	7	8	9	6	4	1	9	3	15	5	18	4	10	3	7	2	0	3	3	2	2	6	0	2	1	2	1	6	1	3	3
Lix1l	1	7	5	15	1	4	4	8	4	19	2	13	3	9	4	8	4	5	8	3	3	2	6	2	8	7	6	5	6	2	9	10
Lkaaear1	0	25	6	12	3	7	3	6	5	9	1	11	8	7	2	9	1	0	1	2	0	0	2	4	0	1	1	2	0	0	0	3
Llcfc1	1	6	2	6	4	13	4	12	7	14	2	12	5	9	4	10	1	0	1	1	2	1	3	3	0	1	1	1	0	0	0	0
Llgl1	2	8	10	12	3	6	5	6	5	12	4	11	1	8	2	7	5	8	6	9	3	6	5	9	2	10	4	12	3	2	4	14
Llgl2	2	8	2	13	3	8	4	7	1	7	6	12	1	12	2	7	0	1	2	1	1	1	4	3	1	2	1	3	3	3	4	3
Llph	8	12	12	14	2	5	3	15	5	20	7	17	7	10	4	12	8	8	8	16	9	8	3	3	7	10	2	19	13	6	16	19
Lman1	6	9	5	14	1	7	8	12	4	14	3	13	3	10	5	5	5	5	8	4	1	5	2	3	4	5	6	9	1	4	7	15
Lman1l	2	6	3	5	6	10	5	11	4	9	7	14	5	14	1	5	1	2	2	1	2	2	1	2	0	3	2	1	2	0	3	2
Lman2	3	6	5	14	1	8	2	14	1	21	5	16	1	7	7	9	10	22	8	11	7	11	2	8	4	6	10	20	7	12	9	21
Lman2l	1	10	7	12	5	11	7	8	4	12	7	17	0	14	5	3	6	6	14	6	7	6	4	3	5	1	6	13	9	5	9	12
Lmbr1	5	13	6	14	1	10	8	8	5	11	4	19	4	11	4	7	8	16	9	11	7	17	8	10	10	3	3	10	10	10	7	17
Lmbr1l	2	3	6	8	5	9	5	6	5	17	4	14	3	13	1	13	6	8	5	5	3	4	4	2	2	4	6	15	3	7	2	7
Lmbrd1	2	14	2	13	5	10	10	8	3	15	4	10	6	8	1	10	22	21	18	23	15	26	5	16	16	11	10	40	21	21	16	32
Lmbrd2	3	7	7	12	5	4	5	16	7	13	12	16	6	18	12	11	22	16	27	18	22	23	8	10	13	7	37	26	18	12	20	31
Lmcd1	8	8	5	14	3	9	3	6	5	16	3	22	4	5	6	12	2	2	4	5	0	3	2	4	1	2	4	7	4	4	4	1
Lmf1	4	11	1	7	2	6	1	9	5	12	2	15	5	11	6	3	1	1	8	3	7	4	4	3	4	6	4	6	11	1	6	9
Lmf2	2	2	2	9	2	8	4	7	4	11	3	14	3	8	2	11	4	3	6	4	2	6	2	4	6	1	4	8	4	5	6	8
Lmln	4	4	6	10	4	5	4	7	8	7	4	19	3	16	2	7	2	7	7	2	0	9	2	7	3	4	5	8	2	6	3	13
Lmna	1	13	12	9	8	11	7	15	7	13	4	19	3	10	1	9	11	6	13	4	5	6	3	6	6	4	3	5	9	2	5	9
Lmnb1	7	3	3	5	2	2	2	9	3	6	5	9	2	3	7	10	0	4	5	1	2	4	3	4	4	4	1	8	1	2	2	5
Lmnb2	5	2	8	11	3	8	5	12	1	7	3	17	3	11	4	3	2	4	2	0	2	6	0	3	1	1	1	5	1	3	1	8
Lmntd1	2	5	3	9	5	6	5	10	4	9	5	11	3	6	3	5	1	3	3	2	1	1	1	1	0	1	1	4	0	0	0	4
Lmntd2	2	5	5	11	3	5	5	6	4	2	6	5	1	9	1	5	3	2	1	4	2	0	3	2	3	3	1	3	2	0	1	6
Lmo1	1	4	0	3	4	4	3	4	6	12	5	4	5	6	2	8	1	1	1	0	4	0	0	1	0	0	1	2	0	0	0	0
Lmo2	4	8	2	10	5	3	5	8	4	10	0	12	4	10	2	3	2	6	2	5	2	1	3	4	3	4	4	6	2	0	2	5
Lmo3	3	7	5	8	6	4	5	14	5	10	3	14	3	8	4	7	3	3	1	2	1	2	0	5	2	6	1	13	1	1	3	11
Lmo4	6	21	7	13	5	9	2	11	10	12	9	25	11	20	7	17	30	20	18	7	21	9	8	7	13	10	16	28	30	9	21	17
Lmo7	3	6	10	7	5	5	3	5	1	9	4	9	2	7	1	6	1	2	1	1	1	1	1	0	5	3	4	2	1	0	2	1
Lmod1	2	7	3	7	5	6	0	5	5	9	4	6	3	7	5	6	0	1	2	2	2	2	1	1	1	2	1	1	2	1	2	1
Lmod2	4	6	2	10	1	4	4	10	6	15	2	14	5	14	3	4	0	1	1	1	4	1	0	1	0	2	3	1	0	1	0	1
Lmod3	2	4	5	9	2	7	1	3	12	8	6	13	3	7	2	7	3	2	1	2	3	3	2	2	6	2	2	4	2	1	3	2
Lmtk2	3	9	8	19	2	4	3	7	7	10	7	15	3	7	4	8	27	27	27	26	25	28	10	32	19	19	10	48	26	24	25	57
Lmtk3	3	3	9	8	3	9	1	9	6	14	3	11	1	3	3	5	17	29	33	24	18	27	10	28	18	23	22	39	18	22	16	31
Lmx1a	1	4	3	7	5	8	1	6	3	15	7	22	1	6	1	10	1	0	2	3	5	3	3	1	2	1	3	1	0	2	2	0
Lmx1b	4	6	3	13	4	4	6	2	7	7	5	16	3	7	3	4	3	3	5	2	2	1	1	0	5	1	3	2	2	4	1	6
Lnp1	1	7	6	10	3	7	5	10	1	6	4	17	0	9	2	15	2	0	0	3	2	2	1	2	2	0	3	2	2	1	2	6
Lnpep	4	10	8	12	2	10	2	12	7	11	10	18	4	13	4	10	20	10	13	9	10	12	12	20	13	14	13	39	8	8	22	20
Lnpk	6	8	2	10	4	10	4	15	2	14	2	17	3	10	6	13	23	12	28	13	23	20	15	22	20	14	26	40	17	8	36	21
Lnx1	1	8	2	6	4	7	1	6	1	16	4	13	2	5	3	8	9	15	13	7	11	3	7	8	10	8	8	9	3	5	10	12
Lnx2	3	5	3	11	4	6	7	8	8	10	4	11	4	8	6	8	6	3	1	2	4	1	3	3	1	1	2	3	1	0	3	6
Lonp1	4	7	5	10	4	12	4	14	5	12	3	16	4	12	4	11	10	11	6	4	6	12	2	4	10	9	7	16	8	22	9	27
Lonp2	5	8	6	14	3	5	3	9	4	14	5	16	2	12	1	5	6	6	9	8	4	10	4	12	11	8	10	17	4	7	14	17
Lonrf1	5	5	5	9	6	10	6	12	6	9	8	14	4	14	2	13	5	8	6	7	3	8	4	4	6	5	5	9	4	5	5	2
Lonrf2	4	3	5	9	0	6	3	5	2	16	4	16	1	7	0	5	20	20	21	24	12	23	10	20	14	19	12	23	13	15	24	29
Lonrf3	2	10	2	11	1	2	3	15	2	7	3	12	3	5	0	13	1	3	2	2	4	1	2	2	4	2	3	10	1	3	4	6
Lor	2	7	3	9	2	8	8	8	3	10	6	7	4	5	1	3	1	2	4	1	2	6	0	1	3	3	1	3	0	1	6	5
Lox	4	12	5	10	2	8	5	9	3	17	4	16	2	6	2	7	1	3	2	3	0	1	1	2	1	2	2	4	1	1	4	3
Loxhd1	2	8	1	14	4	2	3	8	3	5	10	11	4	11	4	4	1	2	4	6	0	0	1	2	1	2	2	3	1	1	0	2
Loxl1	5	3	6	4	5	4	10	13	3	8	3	15	4	9	1	12	0	3	3	0	0	2	0	1	2	2	2	2	0	2	1	2
Loxl2	3	7	9	11	1	6	1	10	12	16	5	13	3	5	6	5	2	2	1	4	0	3	0	2	2	1	0	5	2	3	4	4
Loxl3	2	7	6	10	5	6	5	11	3	10	4	16	8	6	6	5	0	0	2	1	2	2	2	4	2	0	2	5	3	2	2	2
Loxl4	7	5	8	13	2	5	5	10	5	7	7	16	2	9	5	9	4	2	3	2	2	1	1	3	1	2	2	1	0	2	4	5
Lpar1	2	12	1	12	2	7	2	11	5	6	7	14	5	5	1	9	2	4	6	1	3	8	2	2	0	0	2	7	0	2	5	5
Lpar2	5	7	4	17	5	7	2	3	5	4	6	19	4	13	2	6	1	2	0	4	4	0	2	3	0	1	7	3	2	2	1	3
Lpar3	4	9	2	7	3	9	6	7	5	11	5	16	9	9	1	8	0	1	2	1	1	2	3	3	3	1	1	6	2	2	5	1
Lpar4	4	4	2	7	3	5	5	10	5	11	5	16	2	9	3	8	2	2	0	0	2	2	1	1	3	2	2	1	0	0	2	1
Lpar5	0	7	4	11	1	5	4	6	3	10	5	12	4	9	7	6	1	0	2	1	0	4	1	2	1	1	1	4	4	1	2	0
Lpar6	5	6	7	6	6	7	5	9	9	14	4	5	7	4	4	10	3	3	3	2	3	2	3	1	2	2	2	5	1	3	3	5
Lpcat1	4	10	5	9	4	4	5	11	3	7	4	10	4	7	1	7	4	7	7	4	8	4	6	3	3	0	6	8	2	0	3	8
Lpcat2	8	4	0	10	3	6	0	6	4	8	2	9	1	10	1	6	1	2	2	2	0	2	0	3	0	2	14	0	4	2	0	6
Lpcat2b	3	10	7	10	2	6	6	10	4	11	6	10	5	9	6	8	2	1	1	2	0	2	2	1	2	3	1	5	1	0	1	3
Lpcat3	6	12	4	14	6	8	5	10	8	13	4	20	3	4	3	5	2	3	6	9	6	9	4	1	0	1	1	5	6	7	6	7
Lpcat4	3	6	6	9	2	8	2	11	4	12	4	13	8	16	1	9	18	28	18	27	15	28	12	36	22	22	8	58	20	34	20	41
Lpgat1	4	8	5	14	4	5	6	8	5	11	2	14	2	14	4	7	24	44	36	38	32	42	9	25	16	31	17	70	14	34	18	53
Lpin1	2	12	1	8	5	1	6	25	3	21	7	13	4	17	4	5	10	26	20	18	24	27	14	20	6	16	14	45	14	21	18	38
Lpin2	2	2	3	6	3	6	4	8	4	13	4	10	1	4	3	6	11	11	10	10	6	6	2	7	8	2	6	9	12	11	8	16
Lpin3	1	3	2	9	0	4	3	5	2	9	2	7	2	7	2	2	1	2	2	2	1	3	0	0	3	2	4	2	0	1	4	3
Lpl	2	6	4	15	1	9	7	10	3	14	5	13	3	9	0	4	1	1	1	4	0	1	0	2	0	2	3	1	7	2	2	4
Lpo	2	9	6	15	3	6	2	6	3	8	8	13	4	7	1	12	0	3	1	2	2	2	0	2	1	2	3	1	4	0	2	3
Lpp	1	5	3	6	2	2	5	4	4	9	5	10	1	5	4	8	2	2	6	2	2	2	0	1	2	2	3	6	1	0	1	6
Lpxn	3	2	4	7	5	4	8	5	6	7	4	8	1	11	3	4	1	0	3	1	2	2	1	1	3	1	2	3	1	0	5	2
Lrat	2	9	4	8	3	5	6	10	4	17	5	18	1	17	3	7	1	3	3	3	1	2	0	2	1	0	1	4	0	1	1	5
Lratd1	3	6	3	4	2	7	2	9	2	6	3	8	0	8	3	8	3	1	1	2	2	0	2	0	4	0	6	1	0	2	4	3
Lratd2	2	5	1	7	2	7	2	2	9	16	6	8	3	10	3	3	2	3	2	1	1	0	2	2	3	6	2	2	3	1	2	5
Lrba	4	7	3	8	3	6	4	8	8	12	5	9	6	9	5	7	4	7	4	5	2	5	2	7	3	9	6	8	3	2	4	10
Lrch1	3	12	3	13	3	6	4	3	9	11	7	21	3	5	3	6	7	8	2	13	3	18	4	16	3	11	8	15	6	11	2	21
Lrch2	2	2	6	4	2	7	4	8	4	14	1	13	6	10	3	2	2	5	2	1	2	2	3	0	4	2	1	2	2	2	4	6
Lrch3	4	8	2	18	4	5	7	13	3	15	11	21	6	9	4	18	11	8	9	10	7	11	10	14	3	11	8	16	5	7	16	27
Lrch4	2	9	6	5	3	5	4	7	5	11	5	16	1	8	1	11	2	3	2	2	0	3	1	1	1	2	2	5	0	1	4	8
Lrcol1	1	7	6	10	3	6	8	12	5	13	4	9	4	9	5	4	0	0	0	3	2	1	1	1	2	0	2	3	2	2	2	5
Lrfn1	6	14	3	9	5	2	5	7	3	20	3	13	4	15	8	11	11	13	14	14	8	18	7	14	3	10	10	20	14	12	16	19
Lrfn2	5	13	12	12	6	7	10	11	2	15	5	19	5	12	7	12	1	5	6	8	3	6	4	6	3	4	5	6	5	6	5	14
Lrfn3	0	8	4	7	1	5	4	7	5	8	3	12	4	6	6	7	5	5	10	4	8	3	1	8	4	2	5	12	7	3	4	4
Lrfn4	3	4	3	12	4	9	13	17	10	11	5	16	7	13	2	9	5	7	6	3	9	8	5	7	5	9	5	13	8	6	6	10
Lrfn5	10	18	6	25	3	10	10	19	8	11	3	17	6	9	10	15	6	16	8	7	6	10	5	5	7	7	6	15	12	6	8	12
Lrg1	3	7	3	10	0	11	5	7	5	12	4	15	10	10	3	8	0	3	1	1	0	2	0	3	3	2	4	5	3	0	1	1
Lrguk	1	6	5	14	4	5	9	8	4	15	7	17	5	7	2	7	1	2	0	2	2	3	3	3	4	2	1	3	4	1	3	4
Lrif1	3	5	7	9	2	3	8	7	4	12	3	17	1	10	4	7	6	0	3	4	1	1	5	5	3	7	1	9	5	3	3	4
Lrig1	1	8	2	3	3	11	4	10	10	11	1	18	7	10	5	7	5	1	5	3	6	3	5	0	6	2	7	7	6	1	3	8
Lrig2	1	7	3	14	2	5	3	10	0	6	2	19	2	8	6	9	8	6	12	8	7	13	7	12	9	11	4	10	5	8	3	16
Lrig3	3	8	5	33	2	5	2	7	6	16	4	11	2	6	3	5	0	0	2	6	1	3	1	1	3	3	0	3	3	2	0	6
Lrit1	2	0	3	8	3	6	4	9	2	11	3	8	5	5	3	8	2	1	0	0	1	2	2	1	3	2	1	2	4	3	3	0
Lrit2	5	11	2	8	1	8	2	14	3	11	2	12	1	5	3	12	2	0	1	2	3	2	4	1	2	2	3	3	2	0	3	4
Lrit3	1	5	0	7	3	5	7	4	5	4	1	7	3	11	2	4	3	2	1	1	1	1	3	1	2	3	2	9	1	3	0	1
Lrmda	3	4	4	8	2	1	5	2	6	10	7	13	6	12	6	7	2	1	0	4	0	2	0	3	2	7	3	5	2	3	1	4
Lrmp	3	3	3	2	2	5	5	6	3	5	5	10	0	6	1	4	1	5	1	1	1	2	2	3	3	2	1	1	4	0	2	6
Lrp1	6	7	4	14	6	7	4	13	3	8	3	17	6	5	5	6	20	20	32	25	15	22	17	17	22	14	24	28	26	16	18	40
Lrp10	8	6	3	18	7	2	8	14	5	13	5	21	6	13	2	8	5	5	6	3	3	5	6	5	8	6	6	8	7	6	11	5
Lrp11	5	4	2	9	3	9	5	7	2	6	2	13	3	15	5	8	20	17	20	13	24	21	9	24	22	22	20	33	21	11	28	17
Lrp12	1	7	3	12	3	2	7	12	3	5	5	21	2	10	4	4	9	11	15	15	9	10	7	14	9	6	9	12	21	10	14	8
Lrp1b	6	4	3	7	3	5	3	14	7	10	3	16	3	12	6	11	13	13	18	17	14	31	10	21	6	13	9	23	6	17	19	32
Lrp2	4	4	5	9	2	5	5	7	10	14	5	11	0	12	2	5	2	0	0	2	2	1	1	0	3	4	3	1	2	1	0	1
Lrp2bp	3	8	4	11	2	8	4	12	2	7	9	20	6	9	3	10	2	0	3	4	4	2	2	0	3	0	5	2	1	1	3	6
Lrp3	2	6	1	9	1	6	1	8	3	8	4	10	1	7	1	8	13	23	5	17	11	20	6	23	5	17	5	40	8	19	12	35
Lrp4	3	7	4	2	2	7	8	10	4	12	3	12	3	10	4	13	0	3	3	3	0	1	0	1	0	4	3	3	3	2	4	3
Lrp5	3	7	3	12	3	5	9	13	5	13	4	11	4	12	1	6	2	1	2	1	6	1	1	1	1	4	1	2	3	1	2	2
Lrp6	2	8	4	16	6	5	4	10	7	19	6	5	2	10	1	11	2	6	5	9	5	13	5	5	4	4	6	11	7	10	2	12
Lrp8	6	7	2	8	2	3	4	9	5	12	4	8	6	10	5	7	6	8	8	9	4	8	4	10	4	8	7	16	7	4	5	16
Lrpap1	2	8	6	8	4	3	8	12	6	14	7	18	3	13	4	16	27	27	36	14	19	30	19	14	28	24	27	31	32	21	35	31
Lrpprc	4	5	2	9	1	6	7	9	1	6	5	11	0	4	5	4	13	23	12	15	16	22	5	13	5	11	14	37	10	15	10	19
Lrr1	38	184	67	312	46	177	59	282	72	375	68	457	46	272	28	200	726	635	1099	598	796	803	792	763	1023	702	1176	1479	550	430	1089	1444
Lrrc1	1	3	5	7	2	3	5	5	3	7	5	2	1	5	3	6	2	3	1	2	1	1	7	2	0	0	3	3	3	2	1	2
Lrrc10	3	8	4	14	4	5	4	10	7	10	6	14	1	11	0	7	3	2	3	4	1	4	1	0	1	3	5	2	1	1	0	1
Lrrc10b	3	5	3	4	1	6	3	7	3	11	3	13	1	4	3	3	0	0	1	0	1	2	0	1	0	1	2	3	1	1	2	1
Lrrc14	6	6	6	9	4	4	1	9	5	7	1	15	3	9	3	8	6	5	4	2	8	6	1	10	7	5	7	5	9	1	9	10
Lrrc14b	4	3	4	8	4	7	7	9	6	10	5	13	3	12	3	9	2	2	1	2	3	0	0	1	1	0	0	3	2	1	2	3
Lrrc15	3	4	2	6	4	8	4	13	3	8	0	11	2	5	5	4	0	1	1	0	2	3	0	0	1	2	3	6	4	1	1	1
Lrrc18	2	3	1	8	1	5	6	2	4	11	1	10	3	3	2	5	0	2	4	1	1	1	0	1	3	2	1	1	0	1	1	2
Lrrc19	2	4	4	7	2	3	4	4	3	2	1	11	3	3	1	1	1	2	2	1	0	1	0	1	3	3	0	4	1	0	1	2
Lrrc2	7	6	6	14	2	5	2	10	5	13	5	11	3	11	3	6	2	0	3	1	1	6	1	0	1	4	0	4	0	0	1	3
Lrrc20	3	5	1	15	2	3	5	8	9	19	4	16	5	6	3	7	8	7	11	4	7	8	9	3	7	4	11	18	8	3	8	10
Lrrc23	8	5	4	10	3	5	4	9	4	9	1	14	2	4	5	8	1	1	5	2	0	1	3	1	0	1	2	5	2	2	2	1
Lrrc24	3	8	4	10	5	8	11	6	4	12	2	10	5	8	6	6	0	13	7	14	5	10	3	12	1	8	6	21	5	9	7	17
Lrrc25	2	9	9	14	5	10	8	13	2	18	7	14	4	13	3	10	3	1	2	0	3	0	5	0	2	2	2	4	0	0	0	6
Lrrc26	2	5	7	9	3	7	4	10	5	10	0	7	2	9	0	8	1	4	3	2	2	0	2	1	4	2	2	4	7	2	2	5
Lrrc27	2	2	6	13	2	7	3	9	1	4	1	12	1	6	2	11	4	2	5	6	5	1	1	5	6	4	5	6	2	1	7	11
Lrrc28	3	6	7	8	4	6	6	11	2	6	2	14	4	8	7	8	3	3	3	2	1	6	3	3	2	2	5	3	2	2	1	8
Lrrc29	2	6	3	7	1	6	1	7	9	12	6	9	5	10	3	5	0	3	9	1	0	6	1	4	2	3	1	10	2	4	1	12
Lrrc3	3	2	3	11	2	2	5	7	4	11	3	10	2	8	7	10	3	0	0	1	1	1	0	1	3	4	2	6	2	1	3	4
Lrrc30	3	4	12	12	2	7	4	7	3	14	5	12	5	6	1	8	1	1	5	2	1	0	0	0	2	2	1	1	0	0	2	0
Lrrc31	4	9	6	9	3	3	8	11	7	11	3	11	6	8	3	6	2	1	5	3	1	0	4	2	1	0	2	3	1	1	0	4
Lrrc32	6	8	6	6	5	6	2	5	6	11	3	13	4	10	1	5	1	0	4	3	3	2	2	3	3	3	1	1	1	0	2	2
Lrrc34	4	3	5	9	2	5	3	10	3	15	2	14	1	10	5	10	0	0	0	1	2	1	1	1	1	2	2	3	5	3	2	4
Lrrc36	4	7	11	13	6	7	6	10	1	12	3	8	1	7	3	4	1	1	2	1	0	2	1	0	2	1	4	2	0	3	2	0
Lrrc37a	1	2	3	6	3	1	5	4	3	11	5	9	1	7	6	8	1	3	6	4	1	0	2	1	0	4	1	2	0	1	1	3
Lrrc38	3	8	6	16	2	4	6	12	7	7	1	7	0	8	3	4	2	1	5	2	3	0	2	2	1	5	1	4	2	4	2	0
Lrrc39	3	5	2	10	1	11	8	12	2	9	2	12	3	14	1	4	0	0	2	2	1	1	1	4	3	2	4	0	3	0	1	3
Lrrc3b	3	6	0	11	2	7	6	12	4	14	2	19	3	5	1	3	2	3	1	5	0	2	1	4	1	4	5	6	0	0	2	5
Lrrc3c	2	5	2	5	2	7	3	8	7	12	5	10	3	4	4	11	1	1	1	1	1	0	1	0	2	3	2	1	0	0	3	1
Lrrc4	4	13	2	15	9	12	10	9	7	12	3	14	4	6	3	10	13	26	11	13	8	20	5	7	11	17	11	25	7	8	18	12
Lrrc40	3	11	5	8	5	3	7	3	8	9	4	11	5	5	1	11	8	4	1	14	5	6	3	7	1	4	8	10	4	6	6	9
Lrrc41	4	4	4	9	3	6	3	12	8	11	5	10	1	7	6	6	6	7	10	8	10	11	5	4	6	5	8	15	6	8	12	21
Lrrc42	4	3	9	7	4	7	3	10	5	6	2	12	1	7	1	7	7	4	0	6	3	5	4	3	2	2	7	5	4	5	6	6
Lrrc43	0	8	5	11	2	6	2	7	5	9	1	14	3	9	3	4	0	0	3	1	3	6	1	1	1	1	1	5	0	0	0	3
Lrrc45	3	8	7	7	1	5	4	10	5	12	5	14	1	10	4	8	7	11	10	2	5	10	6	15	1	12	2	25	3	9	8	24
Lrrc46	2	3	4	6	3	3	3	11	6	8	2	14	2	11	4	11	2	2	2	3	1	3	2	3	2	0	4	3	1	1	3	7
Lrrc47	0	9	3	12	6	6	3	8	3	11	4	10	6	10	5	6	5	10	8	5	6	15	5	7	3	3	7	11	5	8	4	15
Lrrc49	3	9	3	17	6	8	2	9	4	10	6	20	5	15	3	7	5	2	6	7	10	7	3	6	6	5	4	4	5	4	6	17
Lrrc4b	2	6	3	7	2	5	4	5	5	6	3	9	4	7	1	1	28	42	26	24	28	30	13	23	16	22	29	53	21	19	29	48
Lrrc4c	5	3	4	9	5	11	4	13	6	14	5	14	5	12	4	3	11	13	15	8	17	10	8	10	9	14	10	20	19	12	14	21
Lrrc51	2	5	2	10	4	3	7	4	4	12	4	15	2	3	4	8	2	1	2	6	3	1	6	2	5	3	2	3	1	1	2	2
Lrrc52	0	3	2	18	3	8	4	6	2	17	7	14	3	6	0	9	4	7	2	1	2	1	2	2	1	1	2	5	2	0	1	1
Lrrc55	5	8	7	9	4	5	5	12	6	24	6	11	1	11	3	9	2	2	3	2	0	1	1	1	0	2	0	4	1	3	3	8
Lrrc56	5	8	4	10	5	5	4	6	1	8	4	12	4	13	2	7	1	1	4	4	2	3	0	4	3	1	0	3	1	2	3	3
Lrrc57	4	9	2	6	3	10	5	9	4	16	3	12	2	8	1	5	3	5	8	8	1	6	1	6	7	10	9	10	8	6	7	9
Lrrc58	3	8	3	19	3	15	5	11	5	17	1	14	0	11	2	10	16	10	15	9	15	11	9	5	17	7	11	22	19	6	21	18
Lrrc59	5	8	6	10	0	6	3	5	4	5	4	7	4	6	2	12	6	21	6	13	8	9	6	16	9	9	13	26	13	10	11	23
Lrrc6	6	2	3	12	3	6	6	15	8	16	4	11	2	13	8	3	0	1	7	2	1	5	0	1	2	4	2	2	1	2	1	3
Lrrc61	1	3	4	11	3	6	3	3	5	6	2	10	1	7	2	4	4	4	2	5	1	4	0	4	1	2	3	6	4	1	7	12
Lrrc63	2	7	2	6	3	8	3	10	5	5	2	18	2	16	3	10	4	1	3	1	0	1	3	1	1	1	2	5	2	1	3	6
Lrrc66	1	4	2	5	3	4	5	1	5	3	3	5	1	5	5	7	1	0	0	2	1	2	5	2	4	1	3	1	1	0	1	3
Lrrc69	6	9	3	10	7	5	3	6	3	12	3	13	2	10	1	8	1	1	0	2	3	2	1	1	1	2	5	6	5	0	2	2
Lrrc7	2	8	6	9	0	8	2	13	6	16	5	13	2	9	5	9	3	6	9	7	5	7	2	4	4	7	3	12	6	5	3	14
Lrrc71	3	6	4	10	1	3	3	8	3	9	4	11	3	9	6	9	0	0	3	0	3	0	1	2	2	1	1	4	0	1	1	4
Lrrc72	2	4	1	12	2	11	3	7	4	9	3	4	3	2	4	2	5	1	2	0	0	2	1	2	2	2	2	5	4	1	1	7
Lrrc73	5	10	3	10	3	7	1	13	2	10	2	11	2	10	4	5	11	4	4	2	6	3	7	8	2	2	3	12	2	1	8	9
Lrrc74a	3	5	6	10	4	9	2	8	2	11	10	8	5	10	3	6	1	2	1	1	1	1	2	1	2	0	4	2	2	1	0	3
Lrrc74b	1	5	1	3	4	9	4	7	6	8	4	7	5	6	4	5	0	2	2	0	0	3	3	1	6	1	0	0	2	0	3	4
Lrrc75a	2	8	8	9	4	2	2	5	7	14	4	11	5	12	4	10	1	2	4	2	0	4	0	0	1	3	2	2	1	0	3	4
Lrrc75b	0	6	5	10	1	1	3	4	3	9	3	18	5	7	2	3	2	2	6	2	2	7	3	7	2	1	7	11	1	2	5	13
Lrrc8a	4	8	6	19	5	9	3	10	2	12	6	12	6	10	2	12	40	32	27	21	25	30	13	21	14	14	36	44	37	26	17	34
Lrrc8b	7	10	6	17	4	7	12	13	4	13	7	12	7	8	6	7	3	12	9	10	2	6	1	10	4	5	6	16	3	8	3	17
Lrrc8c	1	8	3	11	4	4	4	15	7	8	2	10	1	5	2	11	8	7	12	3	3	3	3	5	6	5	7	10	8	2	11	9
Lrrc8d	5	8	2	14	5	10	6	22	2	13	5	27	5	12	3	12	5	6	5	7	3	7	1	2	4	2	5	12	2	2	5	12
Lrrc8e	4	3	5	9	2	7	5	12	5	4	1	13	2	8	3	9	3	1	4	0	0	1	0	1	2	0	0	0	2	0	3	3
Lrrc9	2	5	1	14	5	3	2	3	7	11	5	15	4	4	1	5	2	1	0	1	2	4	1	2	3	1	0	6	0	4	1	2
Lrrcc1	3	7	6	9	4	9	5	9	3	15	3	11	11	11	1	7	5	11	9	4	5	3	4	8	5	4	6	8	4	3	5	11
