DSP_1005580000422_D_A02.dcc	DSP_1005580000422_D_A03.dcc	DSP_1005580000422_D_A08.dcc	DSP_1005580000422_D_A09.dcc	DSP_1005580000422_D_A10.dcc	DSP_1005580000422_D_A11.dcc	DSP_1005580000422_D_A12.dcc	DSP_1005580000422_D_B01.dcc	DSP_1005580000422_D_B06.dcc	DSP_1005580000422_D_B07.dcc	DSP_1005580000422_D_B08.dcc	DSP_1005580000422_D_B09.dcc	DSP_1005580000422_D_B10.dcc	DSP_1005580000422_D_B11.dcc	DSP_1005580000422_D_B12.dcc	DSP_1005580000422_D_C01.dcc	DSP_1005580000422_D_C04.dcc	DSP_1005580000422_D_C05.dcc	DSP_1005580000422_D_C06.dcc	DSP_1005580000422_D_C07.dcc	DSP_1005580000422_D_C10.dcc	DSP_1005580000422_D_C11.dcc	DSP_1005580000422_D_C12.dcc	DSP_1005580000422_D_D01.dcc	DSP_1005580000422_D_D04.dcc	DSP_1005580000422_D_D05.dcc	DSP_1005580000422_D_D08.dcc	DSP_1005580000422_D_D09.dcc	DSP_1005580000422_D_D10.dcc	DSP_1005580000422_D_D11.dcc	DSP_1005580000422_D_D12.dcc	DSP_1005580000422_D_E01.dcc
1700034I23Rik	2	8	2	7	2	8	4	6	1	11	6	11	1	9	1	7	0	1	1	0	1	1	3	0	3	1	4	4	4	1	2	0
1700034J05Rik	3	8	2	9	3	4	2	7	2	14	4	12	5	10	1	9	0	0	1	2	3	2	1	0	1	0	2	6	2	1	1	4
1700037C18Rik	4	6	1	6	3	3	2	6	3	8	5	6	5	10	3	6	3	1	7	0	2	6	4	3	0	1	3	4	2	1	0	8
1700037H04Rik	4	1	3	7	2	9	5	10	2	11	1	13	3	8	1	2	33	22	19	14	21	17	13	20	14	10	25	30	16	14	26	36
P3r3urf	3	5	7	4	6	5	6	5	4	14	1	13	5	11	5	14	1	2	1	0	4	0	1	2	1	1	1	8	2	0	0	4
1700056E22Rik	4	9	3	8	2	6	3	11	3	11	2	12	3	5	1	9	2	0	3	0	2	2	1	1	4	0	1	3	0	1	2	2
1700057G04Rik	7	10	8	10	3	6	2	10	8	17	2	17	3	6	3	14	0	1	2	1	2	2	2	2	3	3	1	4	2	1	4	1
1700066B19Rik	2	5	5	13	6	6	2	9	4	14	3	17	2	14	1	5	4	2	0	1	3	2	0	2	1	1	3	5	0	0	0	8
1700066M21Rik	2	5	11	12	4	7	3	9	8	9	3	12	6	13	3	11	2	3	3	1	2	2	1	4	2	0	2	2	1	2	2	10
1700067K01Rik	1	8	3	11	3	6	5	11	4	6	7	14	2	11	2	2	2	6	3	2	2	1	0	1	1	0	2	3	2	0	3	5
1700067P10Rik	4	7	5	12	3	3	6	6	1	7	1	16	3	9	1	8	2	1	1	2	0	3	2	0	1	1	1	0	3	0	4	5
1700069L16Rik	0	5	5	12	3	6	1	6	4	5	2	13	5	12	2	10	3	1	1	3	1	2	0	0	2	2	1	2	2	0	1	1
Prss59	6	9	3	9	4	4	9	16	7	8	5	16	7	9	6	14	3	2	2	2	1	2	0	1	1	1	1	2	3	1	3	3
1700084M14Rik	2	8	2	5	0	6	4	5	0	6	4	4	1	9	1	5	1	2	2	3	1	2	4	1	0	2	3	3	2	1	2	2
1700086L19Rik	5	7	8	7	3	4	5	12	2	17	2	11	3	12	3	5	8	1	7	4	7	5	2	1	4	3	5	1	5	3	6	10
1700088E04Rik	3	7	9	11	3	4	0	13	6	15	6	10	3	7	6	9	2	4	3	0	3	1	0	1	1	4	3	3	1	0	1	4
1700092M07Rik	6	7	3	13	2	6	5	12	2	9	3	9	2	6	5	8	2	1	1	3	4	1	0	4	8	2	2	1	1	4	1	6
1700093K21Rik	4	9	6	12	7	10	10	6	4	13	8	11	5	9	3	12	4	4	1	1	3	4	1	3	6	2	12	4	2	2	1	1
1700094D03Rik	2	7	8	14	4	5	5	9	5	11	5	19	4	9	3	10	5	5	8	13	4	13	5	4	3	5	6	4	4	4	1	8
1700102P08Rik	2	9	8	14	4	3	10	7	7	10	6	14	5	11	2	15	1	4	3	1	4	2	0	3	2	2	7	3	4	5	5	7
1700109H08Rik	0	11	7	13	6	10	6	13	3	12	9	12	4	13	3	7	0	4	2	4	3	4	2	1	2	2	5	6	2	3	2	8
1700113H08Rik	2	5	4	16	4	8	7	13	6	19	4	19	10	10	2	13	1	1	1	2	3	1	5	0	3	0	1	6	2	0	2	4
1700122O11Rik	3	7	11	16	5	10	6	6	4	12	5	20	2	14	3	10	1	2	5	1	1	2	1	3	1	7	4	6	3	4	3	4
1700123K08Rik	3	9	4	9	1	10	6	10	6	11	4	17	7	10	3	9	2	4	3	2	1	1	2	0	6	5	0	6	3	0	1	3
1700123L14Rik	3	1	9	11	5	5	5	10	2	12	5	19	1	12	2	6	0	1	1	1	0	4	2	2	5	1	1	2	0	1	1	2
1700123O20Rik	2	6	11	10	3	11	7	16	3	19	1	16	2	8	4	2	8	6	7	5	5	5	4	2	10	6	7	13	8	4	8	7
1700125H20Rik	0	7	3	10	3	3	4	9	4	6	7	19	2	7	1	9	0	0	1	4	1	0	4	1	1	1	1	1	4	0	3	1
1700129C05Rik	3	10	4	12	6	4	4	13	5	23	3	16	2	15	1	11	4	1	7	4	2	6	3	5	4	3	2	6	5	6	4	12
1810009A15Rik	4	5	8	9	2	5	5	7	5	15	4	16	3	15	3	6	0	1	8	2	3	1	2	3	5	2	1	1	2	0	4	8
1810009J06Rik	4	7	3	21	4	7	5	12	11	16	5	15	4	4	3	6	1	0	2	2	2	1	3	1	2	4	0	2	4	2	2	6
1810009N02Rik	9	3	4	10	3	7	8	10	5	12	2	16	0	9	4	5	1	2	4	3	2	1	1	2	0	1	4	3	6	2	3	1
1810010H24Rik	2	14	8	7	2	12	6	7	7	13	5	13	2	9	6	10	4	1	3	4	0	5	1	2	2	1	3	2	4	2	5	6
1810013L24Rik	4	6	6	10	1	9	13	18	8	20	3	24	3	8	6	7	18	27	28	20	22	28	17	21	14	26	38	32	18	15	31	42
1810024B03Rik	3	3	3	17	4	8	5	12	10	10	2	17	6	16	0	13	0	1	1	2	2	2	3	1	2	0	2	0	0	2	2	2
